train_seed,final1000_mean_500k,final1000_mean_1e6,delta,train_best_avg_500k,train_best_avg_1e6,delta_train_best_avg,final1000_std_500k,final1000_std_1e6,delta_final1000_std
1001,-67.88300323486328,-63.14699935913086,4.736003875732422,-65.1,-61.9,3.1999999999999957,9.426249504089355,3.323618173599243,-6.102631330490112
1002,-68.447998046875,-62.821998596191406,5.625999450683594,-63.1,-62.0,1.1000000000000014,8.949043273925781,3.361192226409912,-5.587851047515869
1003,-68.03700256347656,-63.60100173950195,4.436000823974609,-63.6,-61.8,1.8000000000000043,9.771852493286133,4.995673656463623,-4.77617883682251
1004,-64.73200225830078,-63.417999267578125,1.3140029907226562,-63.29999999999999,-61.7,1.5999999999999872,6.859681606292725,7.645634651184082,0.7859530448913574
1005,-67.20899963378906,-62.95899963378906,4.25,-64.8,-62.3,2.5,7.99207067489624,3.83171010017395,-4.16036057472229
1006,-67.51000213623047,-63.08200073242188,4.428001403808587,-63.5,-61.8,1.7000000000000028,10.270607948303224,4.64832067489624,-5.622287273406984
1007,-74.5979995727539,-64.32099914550781,10.277000427246094,-71.9,-62.1,9.800000000000004,11.186309814453123,7.2054057121276855,-3.9809041023254377
1008,-65.59100341796875,-64.05799865722656,1.5330047607421875,-64.3,-62.2,2.0999999999999943,8.38236141204834,5.546656608581543,-2.835704803466797
1009,-67.53500366210938,-63.0369987487793,4.498004913330078,-65.9,-61.7,4.200000000000003,9.838881492614746,4.588101863861084,-5.250779628753662
1010,-72.83699798583984,-63.19400024414063,9.642997741699212,-68.6,-61.8,6.799999999999997,9.671399116516112,5.366485118865967,-4.304913997650145
1011,-63.86800003051758,-63.20899963378906,0.6590003967285156,-62.9,-62.1,0.7999999999999972,6.307008266448975,5.003834247589111,-1.3031740188598633
1012,-67.31400299072266,-64.83200073242188,2.4820022583007812,-66.0,-62.9,3.1000000000000014,6.577131748199463,7.419894218444824,0.8427624702453613
1013,-69.65799713134766,-63.00199890136719,6.655998229980469,-66.5,-61.8,4.700000000000003,11.046042442321776,4.253008842468262,-6.793033599853514
1014,-67.48500061035156,-64.44100189208984,3.0439987182617188,-67.6,-61.8,5.799999999999997,7.376868724822998,6.266561508178711,-1.110307216644287
1015,-68.76100158691406,-63.18399810791016,5.577003479003899,-65.5,-62.1,3.3999999999999986,12.034480094909668,3.5460851192474365,-8.488394975662231
1016,-70.40599822998047,-63.17399978637695,7.231998443603516,-67.6,-62.0,5.599999999999994,11.50832748413086,4.720593929290772,-6.787733554840087
1017,-65.55999755859375,-63.797000885009766,1.7629966735839844,-63.9,-62.0,1.8999999999999986,6.760332584381104,6.548639297485352,-0.21169328689575284
1018,-67.83300018310547,-64.02899932861328,3.8040008544921875,-64.1,-61.9,2.1999999999999957,8.792520523071289,7.267529010772705,-1.524991512298584
1019,-66.33399963378906,-63.69200134277344,2.641998291015625,-62.79999999999999,-62.2,0.5999999999999872,9.63094997406006,6.4251389503479,-3.20581102371216
1020,-74.61599731445312,-62.685001373291016,11.93099594116211,-68.0,-61.7,6.299999999999997,11.238987922668455,3.085335493087769,-8.153652429580687
1021,-68.35399627685547,-63.323001861572266,5.030994415283203,-66.9,-62.3,4.6000000000000085,8.937480926513672,4.888821125030518,-4.048659801483154
1022,-66.54000091552734,-62.72600173950195,3.8139991760253906,-63.4,-61.7,1.6999999999999957,9.980381965637209,3.2777533531188965,-6.702628612518312
1023,-72.75700378417969,-62.95899963378906,9.798004150390625,-68.6,-62.0,6.599999999999994,9.259356498718262,3.096273183822632,-6.16308331489563
1024,-68.53199768066406,-63.97600173950195,4.555995941162109,-66.0,-62.7,3.299999999999997,6.999998569488525,6.3395280838012695,-0.6604704856872559
1025,-70.69400024414062,-66.23500061035156,4.4589996337890625,-68.2,-63.1,5.100000000000001,6.240938663482666,7.41139030456543,1.1704516410827637
1026,-64.39900207519531,-63.422000885009766,0.9770011901855469,-62.70000000000001,-61.8,0.9000000000000128,6.457979679107666,4.422156810760498,-2.035822868347168
1027,-66.83899688720703,-63.42900085449219,3.4099960327148438,-63.9,-61.9,2.0,8.898441314697266,4.977120399475098,-3.921320915222168
1028,-72.4020004272461,-63.40299987792969,8.999000549316406,-68.2,-62.1,6.100000000000001,7.989381790161133,4.257548332214356,-3.7318334579467765
1029,-65.54100036621094,-64.17400360107422,1.3669967651367188,-63.6,-62.4,1.2000000000000028,7.786587715148926,6.319466590881348,-1.4671211242675781
1030,-65.77999877929688,-64.23699951171875,1.542999267578125,-62.6,-62.0,0.6000000000000014,20.76527976989746,15.113545417785645,-5.651734352111816
