train_seed,train_best_avg,final100_mean,final100_std,final1000_mean,final1000_std
1001,-61.9,-63.0099983215332,2.2315235137939453,-63.14699935913086,3.323618173599243
1002,-62.0,-62.75,2.085907459259033,-62.821998596191406,3.361192226409912
1003,-61.8,-63.84000015258789,6.783401966094971,-63.60100173950195,4.995673656463623
1004,-61.7,-62.86000061035156,3.8925468921661377,-63.417999267578125,7.645634651184082
1005,-62.3,-62.66999816894531,2.1837549209594727,-62.95899963378906,3.83171010017395
1006,-61.8,-63.16999816894531,4.677595615386963,-63.08200073242188,4.64832067489624
1007,-62.1,-64.0,6.372288227081299,-64.32099914550781,7.2054057121276855
1008,-62.2,-63.72999954223633,4.530157566070557,-64.05799865722656,5.546656608581543
1009,-61.7,-63.52999877929688,5.236729145050049,-63.0369987487793,4.588101863861084
1010,-61.8,-62.91999816894531,3.541043281555176,-63.19400024414063,5.366485118865967
1011,-62.1,-62.90999984741211,3.178510427474976,-63.20899963378906,5.003834247589111
1012,-62.9,-64.18000030517578,6.151915073394775,-64.83200073242188,7.419894218444824
1013,-61.8,-62.90999984741211,5.752636432647705,-63.00199890136719,4.253008842468262
1014,-61.8,-63.619998931884766,4.33165454864502,-64.44100189208984,6.266561508178711
1015,-62.1,-63.43999862670898,4.477373123168945,-63.18399810791016,3.5460851192474365
1016,-62.0,-62.77999877929688,1.5736466646194458,-63.17399978637695,4.720593929290772
1017,-62.0,-63.63999938964844,5.368294715881348,-63.797000885009766,6.548639297485352
1018,-61.9,-63.9900016784668,9.406094551086426,-64.02899932861328,7.267529010772705
1019,-62.2,-62.810001373291016,2.7512896060943604,-63.69200134277344,6.4251389503479
1020,-61.7,-63.16999816894531,4.758946418762207,-62.685001373291016,3.085335493087769
1021,-62.3,-63.52999877929688,6.290051937103272,-63.323001861572266,4.888821125030518
1022,-61.7,-63.02999877929688,3.846696138381958,-62.72600173950195,3.2777533531188965
1023,-62.0,-63.38999938964844,5.582973957061768,-62.95899963378906,3.096273183822632
1024,-62.7,-63.790000915527344,9.386531829833984,-63.97600173950195,6.3395280838012695
1025,-63.1,-66.48999786376953,8.24191665649414,-66.23500061035156,7.41139030456543
1026,-61.8,-63.40999984741211,4.72922420501709,-63.422000885009766,4.422156810760498
1027,-61.9,-63.880001068115234,5.779238224029541,-63.42900085449219,4.977120399475098
1028,-62.1,-63.15999984741211,2.758714199066162,-63.40299987792969,4.257548332214356
1029,-62.4,-64.13999938964844,5.32009744644165,-64.17400360107422,6.319466590881348
1030,-62.0,-63.91999816894531,6.505133628845215,-64.23699951171875,15.113545417785645
1031,-62.4,-63.75,4.566843509674072,-64.14399719238281,6.087719440460205
1032,-62.0,-62.88999938964844,2.473679304122925,-63.244998931884766,4.329632759094238
1033,-61.8,-62.81999969482422,3.655299425125122,-62.59799957275391,5.511875629425049
1100,-61.8,-62.459999084472656,1.6962227821350098,-62.99399948120117,4.928920745849609
1101,-64.5,-66.80000305175781,5.736644744873047,-65.94000244140625,5.94657564163208
